,age,x,y,z,vk_r,vk_phi,vk_z,v_orb
,[yr],[kpc],[kpc],[kpc],[kpc/yr],[kpc/yr],[kpc/yr],[kpc/yr]
0,5434049.874504712,-5.90497847304859,-1.4715599740254977,0.23929928599748718,1.0239693283540061e-07,-3.0778883321466693e-07,1.0925804655460773e-07,-2.392971699834504e-07
1,2783694.5725685763,-13.545973770645219,-3.528581230691368,-0.023662021779799695,-1.1120659883307937e-07,-1.2578796615675038e-07,-2.945763592286507e-07,-2.2654891247481075e-07
2,4245176.48297374,-5.50300187068329,2.7309236146811715,0.062494356671043375,-3.0939617338537717e-07,1.4129344311262217e-07,1.6374440960435103e-07,-2.40450537076513e-07
3,8447761.478422904,-5.1668644830613655,4.3308581227608105,0.006650560673126178,1.3401002899005207e-07,-5.381385038572445e-07,-6.64578767914002e-08,-2.3980919926777537e-07
4,47189.557190869455,-5.627825329157883,-2.3148419505018576,-0.6832277331438499,-1.2785676474900902e-08,2.1579703723145502e-07,-4.4603513125543036e-07,-2.338452475509757e-07
5,1215692.0862620214,-1.4301981283061374,-4.668880020776948,0.009263101708794467,-1.8240017741395948e-07,3.670619473282002e-07,1.8795552632208586e-07,-2.3999905414758357e-07
6,6707491.176518702,-0.4266476235921056,-5.410161757088218,0.2887874647412798,2.9768849067162554e-07,6.47004856144403e-09,2.4018383650995853e-07,-2.3853476327944625e-07
7,8258527.725197721,3.514014706734827,-8.502951675256464,-0.08034470380580683,-2.541514440809323e-07,2.7864424162902063e-07,-2.2505679654180328e-07,-2.3490621354537945e-07
8,1367066.76014294,-3.698939735387549,-8.269911002031138,-0.28681777246730716,1.9406745071648326e-07,6.399632465805537e-08,-8.185999834192343e-07,-2.344943200353844e-07
9,5750933.71917917,-0.23452430467309632,-4.320018589478706,-0.07474334909821162,3.6127522353218127e-07,-1.9940742437080128e-07,-7.299156278219336e-09,-2.3774359453804e-07
10,8913219.651800686,4.139733137907538,1.3881090554758053,-0.19760944390177593,-6.198412613935303e-08,3.614656219642154e-08,3.8479502598427495e-07,-2.3663563862315985e-07
11,2092022.0119697738,-9.173000258753742,1.0623155548067436,-0.15401149103295586,-1.7687683537247185e-07,-1.1534093603158581e-07,2.0386010116986057e-07,-2.3466453373657007e-07
12,1853283.010172531,8.027076205291394,-4.371080996755792,-0.43845254348417084,1.0050612706250535e-07,2.783539481328983e-07,7.400151812775764e-08,-2.3358052183689604e-07
13,1083769.796265661,1.5363755098828322,7.1191812397693415,0.10021236307613103,-1.7163066317610906e-07,1.0527006759137574e-07,-1.9000972204204972e-07,-2.387074029080089e-07
14,2196975.706552429,1.1257706264723852,1.8400751265332533,0.18087170804045558,2.454564807703046e-08,4.239821004637248e-08,3.5996297268485026e-07,-2.0033862600243347e-07
15,9786237.868449911,-5.280364050652519,2.463421759590171,-0.3756247074679066,3.095713105317765e-08,2.816248160134111e-07,-9.980881818078538e-08,-2.3774949810622992e-07
16,8116831.679210084,6.857875312744604,-16.960139500713748,0.02571726339108604,-2.868512367742289e-07,2.4278035657786122e-08,1.4187668153985788e-07,-2.212957443560935e-07
17,1719410.9553849294,-2.6995115788949633,-5.638720649365009,-0.6012009093322177,9.9173706060897e-08,5.8935451427258e-08,2.0959433138890051e-07,-2.3506387540021933e-07
18,8162247.671033651,5.160954814341022,-3.4509562443633013,0.00856436962946948,2.0488438426191642e-07,5.518350976892485e-07,1.1346618334029736e-07,-2.4048790522298653e-07
19,2740738.1963432445,-10.758736851090534,6.226989754503088,-0.04347156580044519,-1.4524010588665017e-07,3.900366969006358e-07,-2.6495172715230983e-07,-2.2893509651778363e-07
20,4317042.404927033,-1.6294319909565702,1.8600915857835882,1.157202457659683,1.6470533162977114e-07,9.227426343464447e-08,-4.7171159434860397e-07,-1.8446446628853944e-07
21,9400298.256193927,7.468540438983885,7.268665170160033,-0.5442785532876253,-3.973681187201285e-07,1.101140107923601e-07,3.9573287574215456e-08,-2.30973880647357e-07
22,8176493.970117895,5.364590534701385,-11.311936147540925,0.6942867545242606,3.863489514922866e-08,-7.312124764808808e-07,-4.22212849755822e-07,-2.2739954256858555e-07
23,3361120.1650970364,2.48473731447049,-0.5237386284575384,0.819362796287946,4.0558526546761356e-08,-3.711908485914515e-07,5.268489699716045e-07,-1.9450994308154563e-07
24,1754105.3620129128,2.9336251349684725,-0.17116161613465658,0.8433688258910008,2.857366265630856e-07,2.3015897361735925e-07,-5.177042464503397e-07,-2.0330586162793724e-07
25,3728321.0900671855,1.6778899640456106,0.7756477470383308,0.031843568008349685,-6.421895020747871e-08,-3.932262352865773e-08,1.474823368293327e-07,-1.9133236588385647e-07
26,56886.06783722689,-17.311590147240107,6.0378031398989025,0.18125367561695566,-5.4629526629408704e-08,3.008611417027061e-07,-2.0287471137501963e-07,-2.211993113163324e-07
